names,code
AS Roma | Roma,ITA
Rosenborg BK | Rosenborg,NOR
FC Rostov | Rostov,RUS
FC Rubin | Rubin,RUS
Ruch Chorzów | Ruch,POL
FK Rudar Pljevlja | Rudar Pljevlja,MNE
MFK Ružomberok | Ružomberok,SVK
1. FC Saarbrücken | Saarbrücken,GER
FC Sachsen Leipzig | Sachsen,GER
FC Salzburg | Salzburg,AUT
UC Sampdoria | Sampdoria,ITA
FC Samtredia | Samtredia,GEO
UE Sant Julià | Sant Julià,AND
FK Sarajevo | Sarajevo,BIH
FC Schalke 04 | Schalke,GER
FK Senica | Senica,SVK
Servette FC | Servette,SUI
Sevilla FC | Sevilla,ESP
FC Shakhtar Donetsk | Shakhtar Donetsk,UKR
FC Shakhter Karagandy | Shakhter,KAZ
FC Shakhtyor Soligorsk | Shakhtyor,BLR
FK Shamkir | Shamkir,AZE
Shamrock Rovers FC | Shamrock Rovers,IRL
Shelbourne FC | Shelbourne,IRL
FC Sheriff Tiraspol | Sheriff,MDA
FC Shirak | Shirak,ARM
KF Shkëndija | Shkëndija,MKD
FC Shkupi 1927 | Shkupi,MKD
FK Sileks | Sileks,MKD
Silkeborg IF | Silkeborg,DEN
FC Sion | Sion,SUI
FC Sioni Bolnisi | Sioni,GEO
Sivasspor,TUR
SJK Seinäjoki | SJK,FIN
Skeid FK | Skeid,NOR
KF Skënderbeu | Skënderbeu,ALB
Skonto FC | Skonto,LVA
SK Slavia Praha | Slavia Praha,CZE
FC Slavia-Mozyr | Slavia-Mozyr,BLR
Sliema Wanderers FC | Sliema,MLT
Sligo Rovers FC | Sligo,IRL
FK Sloga Jugomagnat | Sloga,MKD
ŠK Slovan Bratislava | Slovan Bratislava,SVK
AC Sparta Praha | Sparta Praha,CZE
Sparta Rotterdam,NED
FC Spartak Moskva | Spartak Moskva,RUS
FC Spartak Plovdiv | Spartak Plovdiv,BUL
FC Spartak Trnava | Spartak Trnava,SVK
FK Spartaks Jūrmala | Spartaks Jūrmala,LVA
CA Spora Luxembourg | Spora,LUX
Sporting Clube de Portugal | Sporting CP,POR
Saint Patrick's Athletic FC | St Patrick's,IRL
AS Saint-Étienne | St-Étienne,FRA
FC St. Gallen | St. Gallen,SUI
Stabæk Fotball | Stabæk,NOR
CS Stade Dudelange | Stade Dudelange,LUX
KS Stal Mielec | Stal,POL
R. Standard de Liège | Standard Liège,BEL
IK Start | Start,NOR
Stjarnan,ISL
Racing Strasbourg | Strasbourg,FRA
Strømsgodset IF | Strømsgodset,NOR
FC Struga | Struga,MKD
SK Sturm Graz | Sturm Graz,AUT
VfB Stuttgart | Stuttgart,GER
FC Suduroy | Suduroy,FRO
FK Sūduva | Sūduva,LTU
FK Sutjeska | Sutjeska,MNE
FC Swift Hesper | Swift Hesper,LUX
Szombierki Bytom | Szombierki,POL
FK Şamaxı | Şamaxı,AZE
NK Široki Brijeg | Široki Brijeg,BIH
Śląsk Wrocław | Śląsk,POL
Tampere United,FIN
SC Tavriya Simferopol | Tavriya,UKR
FK Teplice | Teplice,CZE
KF Teuta | Teuta,ALB
The New Saints FC | The New Saints,WAL
FC Thun | Thun,SUI
FC Timişoara | Timişoara,ROU
KF Tirana | Tirana,ALB
FC Tiraspol | Tiraspol,MDA
OFK Titograd | Titograd,MNE
FC Tobol Kostanay | Tobol,KAZ
Torino FC | Torino,ITA
FC Torpedo Kutaisi | Torpedo Kutaisi,GEO
FC Torpedo Moskva | Torpedo Moskva,RUS
Tottenham Hotspur FC | Tottenham,ENG
Toulouse FC | Toulouse,FRA
TPS Turku | TPS,FIN
Trabzonspor,TUR
SP Tre Fiori | Tre Fiori,SMR
SP Tre Penne | Tre Penne,SMR
AS Trenčín | Trenčín,SVK
KF Trepça’89 | Trepça’89,KOS
FK TSC | TSC,SRB
FC TVMK Tallinn | TVMK,EST
FC Twente | Twente,NED
FC Universitatea Craiova | U Craiova,ROU
Udinese Calcio | Udinese,ITA
UE Santa Coloma,AND
Ulisses FC | Ulisses,ARM
1. FC Union Berlin | Union Berlin,GER
R. Union Saint-Gilloise | Union SG,BEL
FC Unirea Urziceni | Unirea Urziceni,ROU
FC Urartu | Urartu,ARM
US Luxembourg,LUX
UTA Arad | UTA,ROU
Újpest FC | Újpest,HUN
Váci FC | Vác,HUN
Valencia CF | Valencia,ESP
Vålerenga Fotball | Vålerenga,NOR
Valletta FC | Valletta,MLT
Valmiera FC | Valmiera,LVA
Valur,ISL
FK Vardar | Vardar,MKD
Vasas FC | Vasas,HUN
FC Vaslui | Vaslui,ROU
Vejle BK | VB,DEN
FK Ventspils | Ventspils,LVA
Hellas Verona FC | Verona,ITA
Viking FK | Viking,NOR
Víkingur,FRO
Víkingur Reykjavík,ISL
FC Viktoria Plzeň | Viktoria Plzeň,CZE
Villarreal CF | Villarreal,ESP
Virtus AC | Virtus,SMR
Vitória SC,POR
KF Vllaznia | Vllaznia,ALB
FK Vojvodina | Vojvodina,SRB
FK Vorwärts Berlin | Vorwärts,GER
VV DOS,NED
FC Wacker Innsbruck | Wacker,AUT
Waterford FC | Waterford,IRL
Widzew Łódź | Widzew,POL
Wiener SC,AUT
Willem II,NED
Wisła Kraków,POL
FC WIT Georgia | WIT Georgia,GEO
VfL Wolfsburg | Wolfsburg,GER
Wolverhampton Wanderers FC | Wolves,ENG
Neuchâtel Xamax FC | Xamax,SUI
Xäzär Länkäran FK | Xäzär Länkäran,AZE
FC Yerevan | Yerevan,ARM
BSC Young Boys | Young Boys,SUI
Zagłębie Lubin,POL
NK Zagreb | Zagreb,CRO
FC Zenit | Zenit,RUS
FC Zestafoni | Zestafoni,GEO
FK Zeta | Zeta,MNE
FC Zimbru Chisinau | Zimbru,MDA
FC Zorya Luhansk | Zorya Luhansk,UKR
HŠK Zrinjski | Zrinjski,BIH
ZTE FC | ZTE,HUN
SV Zulte Waregem | Zulte Waregem,BEL
FC Zürich | Zürich,SUI
FK Žalgiris Vilnius | Žalgiris Vilnius,LTU
FK Željezničar | Željezničar,BIH
MŠK Žilina | Žilina,SVK
